City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Makakilo City,US,86.0,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
16,Atuona,PF,79.52,clear sky,-9.8,-139.03,Villa Enata
17,Miri,MY,82.4,few clouds,4.41,114.01,"Mega Hotel, Miri"
18,Kavieng,PG,84.18,overcast clouds,-2.57,150.8,Nusa Island Retreat
21,Marsh Harbour,BS,82.65,overcast clouds,26.54,-77.06,Abaco Beach Resort
22,Rockport,US,89.6,clear sky,28.02,-97.05,Holiday Inn Express & Suites Rockport - Bay View
24,Padang,ID,77.34,light rain,-0.95,100.35,Mercure Padang
25,Diffa,NE,81.18,clear sky,13.32,12.61,ProDAF/Diffa
29,Basco,PH,84.83,clear sky,20.45,121.97,Nathaniel's Lodge
30,Bengkulu,ID,76.26,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
31,Bandarbeyla,SO,82.18,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
33,Sioux Lookout,CA,75.2,scattered clouds,50.1,-91.92,Knobby's Fly-In Camps
36,Voh,NC,76.44,light rain,-20.97,164.7,Le gîte du Koniambo
42,Victoria,HK,87.01,clear sky,22.29,114.16,Mini Hotel Central
46,Hailey,US,82.4,clear sky,43.52,-114.32,Wood River Inn & Suites
48,Suamico,US,77.0,clear sky,44.63,-88.04,"Country Inn & Suites by Radisson, Green Bay North, WI"
49,Hilo,US,84.2,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
50,San Patricio,MX,84.2,broken clouds,19.22,-104.7,Hotel Cabo Blanco
53,Pacific Grove,US,75.99,clear sky,36.62,-121.92,Lovers Point Inn
55,Hithadhoo,MV,84.56,scattered clouds,-0.6,73.08,Scoop Guest House
58,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
60,Raypur,IN,82.4,haze,22.41,88.51,Abakash
71,Lorengau,PG,85.59,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
72,Fruitville,US,87.8,few clouds,27.33,-82.46,Homewood Suites by Hilton Sarasota
74,Albany,US,82.99,overcast clouds,42.6,-73.97,
75,Lac Du Bonnet,CA,80.01,clear sky,50.25,-96.06,Casey's Inn Motor Hotel
77,Trat,TH,78.8,moderate rain,12.5,102.5,สวนหนิง-อัศ
78,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
80,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
82,Alugan,PH,84.83,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
83,Kerema,PG,83.68,clear sky,-7.96,145.78,Elore Lodge
88,Port Blair,IN,82.69,overcast clouds,11.67,92.75,Hotel Sentinel
94,Lamu,KE,77.23,broken clouds,-2.27,40.9,Lamu House
101,Bahia Honda,CU,80.87,overcast clouds,22.9,-83.16,Casa Gualberto - Deysi
102,Zhezkazgan,KZ,77.07,clear sky,47.8,67.71,Kvartiry Posutochno.
105,Bethel,US,78.8,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
119,Butaritari,KI,83.8,broken clouds,3.07,172.79,Isles Sunset Lodge
121,Beirut,LB,78.8,clear sky,33.89,35.49,Crowne Plaza Beirut
126,Raychikhinsk,RU,77.59,clear sky,49.78,129.41,pioneer house
127,Hami,CN,79.79,broken clouds,42.8,93.45,Laoyutang Resort
133,Arenapolis,BR,75.52,few clouds,-14.45,-56.85,Mato Grosso Hotel
136,Bodden Town,KY,84.99,few clouds,19.28,-81.25,Will T Place
139,Esna,EG,82.65,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
140,Sarankhola,BD,83.25,moderate rain,22.31,89.79,ইসা ষ্টোর
144,Cape Canaveral,US,84.2,broken clouds,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
146,Hamilton,US,75.99,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
149,Tagusao,PH,83.95,overcast clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
150,Sibolga,ID,75.13,light rain,1.74,98.78,Hotel Syariah CN Darussalam
153,Elizabeth City,US,87.8,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
154,Banda Aceh,ID,81.27,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
156,Nabire,ID,84.83,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
160,San Andres,CO,82.4,few clouds,12.58,-81.7,Hotel Arena Blanca
161,Biak,ID,80.49,broken clouds,-0.91,122.88,Kost Ariz
167,Acarau,BR,77.67,few clouds,-2.89,-40.12,castelo pizzaria
171,Faanui,PF,79.09,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Cabo Rojo,PR,84.99,broken clouds,18.09,-67.15,Hotel Perichi's
173,Wilmington,US,80.6,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
175,Champaign,US,78.8,clear sky,40.13,-88.2,"Comfort Suites Urbana Champaign, University Area"
181,Chapada Dos Guimaraes,BR,80.6,scattered clouds,-15.46,-55.75,Pousada Morro Dos Ventos
183,Aswan,EG,81.99,clear sky,24.09,32.91,Nuba Nile
188,Sena Madureira,BR,76.89,few clouds,-9.07,-68.66,Hotel Suzani
191,Ocos,GT,84.2,broken clouds,14.51,-92.19,La Bajadita
202,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
206,Tucurui,BR,77.68,broken clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
207,Beyneu,KZ,82.06,clear sky,45.32,55.2,NUR
208,Batagay,RU,80.49,broken clouds,67.63,134.63,
210,Altamira,BR,75.38,broken clouds,-3.2,-52.21,Requinte Hotel
211,Itaituba,BR,75.65,clear sky,-4.28,-55.98,Hotel Campos
214,Tiznit,MA,82.42,clear sky,29.58,-9.5,
215,Kieta,PG,79.23,moderate rain,-6.22,155.63,
218,San Pedro Buenavista,MX,86.0,scattered clouds,16.08,-93.12,
219,Hailun,CN,78.15,clear sky,47.45,126.93,Wanhao Hotel
226,Tecoanapa,MX,82.99,overcast clouds,16.52,-98.75,Hotel Manglares
228,Lakhipur,IN,79.79,light rain,26.03,90.3,Rajdhani Hotel
231,Gimli,CA,80.01,overcast clouds,50.63,-96.99,Lakeview Gimli Resort
232,Bayan,CN,79.88,clear sky,46.08,127.4,Wanhao Inn
233,Portland,US,77.0,few clouds,45.52,-122.68,Portland Marriott City Center
237,Boyolangu,ID,76.53,broken clouds,-8.12,111.89,Yos ega cv
244,Pringsewu,ID,79.36,clear sky,-5.36,104.97,Urban Style by Front One
246,Puerto Escondido,MX,84.2,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
247,Port Moresby,PG,82.4,scattered clouds,-9.44,147.18,Lamana Hotel
250,Oriximina,BR,77.63,overcast clouds,-1.77,-55.87,Pousada Tia Amélia
253,Bilma,NE,88.0,broken clouds,18.69,12.92,Expeditions Ténére voyages
254,Findlay,US,78.8,clear sky,41.04,-83.65,Drury Inn & Suites Findlay
255,Sola,VU,80.6,overcast clouds,-13.88,167.55,Leumerus Bungalows
257,Porto Novo,BJ,77.0,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
265,Reguengos De Monsaraz,PT,78.01,clear sky,38.43,-7.53,Residencial O Gato
269,Nizwa,OM,84.63,overcast clouds,22.93,57.53,Orient Apartments
273,Kloulklubed,PW,77.0,light intensity shower rain,7.04,134.26,Storyboard Beach Resort
281,Palaikastron,GR,80.01,clear sky,35.2,26.25,Marina Village
287,Gizo,SB,81.27,light rain,-8.1,156.84,Imagination Island
294,San Policarpo,PH,84.25,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
295,Port Keats,AU,76.66,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
299,Guerrero Negro,MX,78.06,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
301,Mataquescuintla,GT,75.2,few clouds,14.53,-90.18,Las Brevas
305,Marawi,PH,82.0,overcast clouds,8.0,124.29,Derogongan Residence
306,Pizarro,CO,78.64,overcast clouds,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
308,Hurghada,EG,82.47,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
313,Santa Rosa,PH,82.0,broken clouds,14.31,121.11,Amethyst Econotel
319,Chor,PK,85.41,broken clouds,25.52,69.77,Asad U Bajeer Hotel
324,Sarakhs,IR,78.57,scattered clouds,36.54,61.16,Sarakhs Abrisham Hotel
328,Kupang,ID,82.4,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
331,Naze,JP,86.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
333,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
335,Kavaratti,IN,82.74,light rain,10.57,72.64,Bismillah Hotel And Lodging
336,Tamiahua,MX,81.93,clear sky,21.27,-97.45,Mission Of The Sun Hotel
339,Itarema,BR,77.59,few clouds,-2.92,-39.92,Windvillage
340,Thomasville,US,82.99,broken clouds,35.88,-80.08,Comfort Inn Thomasville I-85
346,Isangel,VU,78.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
347,Vaitape,PF,79.93,overcast clouds,-16.52,-151.75,Hotel Maitai Polynesia
353,Erdaojiang,CN,79.65,overcast clouds,41.78,126.03,Tonggang Hotel
354,Moa,CU,80.15,overcast clouds,20.66,-74.94,Renta en Divisa
362,Monrovia,LR,75.2,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
364,Pasighat,IN,77.41,light rain,28.07,95.33,Siang Guest House
367,Tabuk,PH,84.07,overcast clouds,17.42,121.44,Grand Zion Garden Resort Hotel
371,Avera,US,86.0,clear sky,33.19,-82.53,
373,Boa Vista,BR,77.0,broken clouds,2.82,-60.67,Aipana Plaza Hotel
374,Shaowu,CN,89.67,overcast clouds,27.34,117.48,Yijie Express Hotel
376,Puerto Boyaca,CO,78.67,overcast clouds,5.98,-74.59,hotel juanes
383,Sigli,ID,80.56,overcast clouds,5.38,95.96,Hotel Riza
385,Maumere,ID,82.36,scattered clouds,-8.62,122.21,Sylvia Hotel
386,Mersing,MY,75.2,scattered clouds,2.43,103.84,Timotel Hotel
389,Fare,PF,79.48,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
392,Kaman,IN,89.2,overcast clouds,27.65,77.27,Khandelwal Dharmashala
393,Lahaina,US,89.6,scattered clouds,20.88,-156.68,Lahaina Shores Beach Resort
394,Nouakchott,MR,80.6,few clouds,18.09,-15.98,Hôtel Iman
399,Dhekiajuli,IN,79.56,light rain,26.7,92.5,LOKD Girls' Hostel
401,Banapur,IN,85.24,overcast clouds,19.78,85.18,Uttarayani market
402,Sawakin,SD,85.68,scattered clouds,19.11,37.33,فندق الدويم
406,San Quintin,MX,76.23,clear sky,30.48,-115.95,Old Mill Hotel
407,Palmer,US,79.0,scattered clouds,42.16,-72.33,Wedgewood Motel
408,Ambon,ID,79.0,light rain,-3.7,128.18,Swiss-Belhotel Ambon
412,Tautira,PF,82.4,broken clouds,-17.73,-149.15,Pension Oaoa
413,Daman,IN,81.21,light rain,20.42,72.85,Silver Sands Beach Resort
420,Nishihara,JP,87.8,broken clouds,26.18,127.76,Minshuku Agaihama
422,Robertson,US,79.0,clear sky,36.52,-86.87,Hampton Inn Springfield
423,Ciudad Del Maiz,MX,87.01,clear sky,22.4,-99.6,Hotel Casona del General
426,Sabzevar,IR,76.62,overcast clouds,36.21,57.68,پارکینگ وسایل سنگین جنوب
428,Tubuala,PA,82.4,scattered clouds,9.52,-79.03,
430,Terre Haute,US,80.6,clear sky,39.47,-87.41,Drury Inn & Suites Terre Haute
434,Mauganj,IN,83.44,scattered clouds,24.68,81.88,SHIVENDRA KUMAR PANDEY
438,Dingle,PH,84.13,light rain,11.0,122.67,Camp Pasica
439,Belton,US,84.2,few clouds,38.81,-94.53,Hampton Inn Belton/Kansas City area
441,Sampit,ID,76.84,overcast clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
443,Pedana,IN,84.74,light rain,16.27,81.17,Markaz Darulbir Hostel.
447,Salalah,OM,80.6,drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
456,Batagay-Alyta,RU,76.96,scattered clouds,67.8,130.41,
462,Puerto Colombia,CO,80.6,broken clouds,10.99,-74.95,Hotel El Emigrante
463,Amalapuram,IN,81.88,light rain,16.58,82.02,swayamprabha service apartments
464,Havelock,US,84.2,broken clouds,34.88,-76.9,Sherwood Motel
466,Santarem,BR,77.0,light rain,-2.44,-54.71,Hotel Imperador
468,Ust-Kuyga,RU,79.36,overcast clouds,70.02,135.6,
478,Mayo,US,84.2,overcast clouds,38.89,-76.51,Resorts Resource Group International
480,Sibanicu,CU,80.6,overcast clouds,21.23,-77.53,
485,Hambantota,LK,80.69,scattered clouds,6.12,81.12,Bungalow 63
486,Bachaquero,VE,78.75,light rain,9.97,-71.15,casa de los dinosaurios
488,Tsagan Aman,RU,81.59,overcast clouds,47.56,46.72,Tirupathi
489,Sur,OM,84.52,overcast clouds,22.57,59.53,Sur Plaza Hotel
491,Saint-Louis,SN,82.44,overcast clouds,16.33,-15.0,
493,Mazagao,BR,82.4,broken clouds,-0.12,-51.29,Casa Lima Santos
494,Langsa,ID,77.97,overcast clouds,4.47,97.97,OYO 2964 Hotel Ridho
496,Mount Pleasant,US,88.0,clear sky,32.79,-79.86,Best Western Patriots Point
498,Kirakira,SB,83.07,light rain,-10.45,161.92,SanBiz Lodge
503,Matara,LK,79.14,overcast clouds,5.95,80.54,Amaloh Boutique Resort
506,Varadero,CU,84.2,broken clouds,23.15,-81.25,Hotel Tuxpan Varadero
510,Udaipura,IN,81.23,overcast clouds,23.08,78.5,Hotel Kanha Palace
512,Noumea,NC,77.0,broken clouds,-22.28,166.46,Hôtel Le Lagon
516,Najran,SA,80.1,scattered clouds,17.49,44.13,محمد هادي ال فطيح
517,North Myrtle Beach,US,86.0,clear sky,33.82,-78.68,Avista Resort
519,Sidi Ali,DZ,76.8,overcast clouds,36.1,0.42,
521,Lingao,CN,85.8,clear sky,19.91,109.69,Lingao Ditai Inn
526,Borogontsy,RU,87.84,clear sky,62.67,131.17,
530,San Benito,GT,82.83,broken clouds,16.91,-89.91,Quinta Maya Hotel
